"gauge_id","geol_1st_class","glim_1st_class_frac","geol_2nd_class","glim_2nd_class_frac","carb_rocks_frac","geol_porosity","geol_permeability","gauge_id2"
"03592718","Unconsolidated sediments","1","NA","0","0","0.2274","-12.7422",3592718
"08023080","Unconsolidated sediments","1","NA","0","0","0.2167","-13.0466",8023080
"01013500","Siliciclastic sedimentary rocks","0.815904446815535","Basic volcanic rocks","0.179729452382194","0","0.1714","-14.7019",1013500
"01022500","Acid plutonic rocks","0.590658158506066","Siliciclastic sedimentary rocks","0.164618210344753","0","0.071","-14.2138",1022500
"01030500","Siliciclastic sedimentary rocks","0.573305400935238","Metamorphics","0.287010005606611","0.0521400935487284","0.1178","-14.4918",1030500
"01031500","Siliciclastic sedimentary rocks","0.448927859249061","Metamorphics","0.443862824494092","0.0262579789051996","0.0747","-14.841",1031500
"01047000","Metamorphics","0.308488043880523","Acid plutonic rocks","0.288612546329161","0","0.0522","-14.4819",1047000
"01052500","Siliciclastic sedimentary rocks","0.497458334479149","Metamorphics","0.374061696779951","0","0.0711","-15.1658",1052500
"01054200","Metamorphics","0.87144277772791","Siliciclastic sedimentary rocks","0.104295202824522","0","0.0288","-14.2147",1054200
"01055000","Siliciclastic sedimentary rocks","0.680843374255509","Metamorphics","0.168363152735523","0","0.1455","-14.3578",1055000
"01057000","Metamorphics","0.451110620382826","Acid plutonic rocks","0.409240381612252","0.0774334159306445","0.0251","-13.9903",1057000
"01073000","Metamorphics","0.943375194531556","Acid plutonic rocks","0.0566248054684436","0","0.01","-14.1",1073000
"01078000","Acid plutonic rocks","0.535649718608006","Metamorphics","0.458790179882329","0","0.011","-14.1061",1078000
"01118300","Acid plutonic rocks","0.759567143145735","Metamorphics","0.240432856854265","0","0.01","-14.1",1118300
"01121000","Metamorphics","1","NA","0","0","0.01","-14.1",1121000
"01123000","Metamorphics","1","NA","0","0","0.01","-14.1",1123000
"01134500","Metamorphics","0.622420641760885","Acid plutonic rocks","0.369333601870038","0","0.0109","-14.1198",1134500
"01137500","Acid plutonic rocks","0.791579905460923","Metamorphics","0.198146815659468","0","0.01","-14.1",1137500
"01139000","Carbonate sedimentary rocks","0.521678756766897","Acid plutonic rocks","0.286851760273367","0.521678756766897","0.0371","-12.922",1139000
"01139800","Carbonate sedimentary rocks","1","NA","0","1","0.06","-11.8",1139800
"01142500","Carbonate sedimentary rocks","0.764501415297893","Metamorphics","0.0979583173139352","0.764501415297893","0.0585","-12.5655",1142500
"01144000","Metamorphics","0.663469277959176","Carbonate sedimentary rocks","0.323706719607693","0.323706719607693","0.0273","-13.3802",1144000
"01162500","Acid plutonic rocks","0.796052853540842","Metamorphics","0.203947146459158","0","0.01","-14.1",1162500
"01169000","Metamorphics","0.894390473275735","Siliciclastic sedimentary rocks","0.0859176613144848","0.0196918654097801","0.0204","-14.2609",1169000
"01170100","Metamorphics","0.538440036558264","Carbonate sedimentary rocks","0.318774098466062","0.318774098466062","0.0416","-13.7095",1170100
"01181000","Metamorphics","0.824255288283291","Acid plutonic rocks","0.165247556945932","0.00299517599801272","0.0112","-14.1061",1181000
