gauge_id,gauge_lat,gauge_lon,geometry,GPP_gCperm2yr,C4_fraction,C4_fraction_un
8103900,30.91157,-98.03697,POINT (-98.03697 30.91157),1443.9617,52.76321087,3.998085545
1013500,47.23739,-68.58264,POINT (-68.58264 47.23739),1247.6278,,
1022500,44.60797,-67.93524,POINT (-67.93524 44.60797),1603.1294,,
1030500,45.50097,-68.30596,POINT (-68.30596 45.50097),1675.2593,0.45516315,
1031500,45.17501,-69.3147,POINT (-69.3147 45.17501),1639.073,0.090405414,
1047000,44.8692,-69.9551,POINT (-69.9551 44.8692),1722.1786,0.525469262,
1052500,44.87739,-71.05749,POINT (-71.05749 44.87739),1628.5771,0.189246812,
1054200,44.39044,-70.97964,POINT (-70.97964 44.39044),1780.6455,0.136825615,
1055000,44.64275,-70.58878,POINT (-70.58878 44.64275),1792.3221,0.01179254,
1057000,44.30399,-70.53968,POINT (-70.53968 44.30399),1701.3115,0.136825615,
1073000,43.1487,-70.96506,POINT (-70.96506 43.1487),1779.792,0.203406487,
1078000,43.56646,-71.74786,POINT (-71.74786 43.56646),1778.381,0.125249455,
1118300,41.47482,-71.83424,POINT (-71.83424 41.47482),2061.0344,1.926782414,
1121000,41.84371,-72.16897,POINT (-72.16897 41.84371),1988.3313,4.442611886,
1123000,41.67177,-72.0523,POINT (-72.0523 41.67177),2009.2495,4.442611886,
1134500,44.51172,-71.83731,POINT (-71.83731 44.51172),1607.0793,0.256717775,
1137500,44.26867,-71.63036,POINT (-71.63036 44.26867),1660.4564,0.410427096,
1139000,44.15034,-72.06509,POINT (-72.06509 44.15034),1639.3938,0.29146055,
1139800,44.09284,-72.33565,POINT (-72.33565 44.09284),1892.401,0.29146055,
1142500,43.93451,-72.65788,POINT (-72.65788 43.93451),1669.805,0.182852053,
1144000,43.71424,-72.41815,POINT (-72.41815 43.71424),1800.0907,0.209238052,
1162500,42.68259,-72.11508,POINT (-72.11508 42.68259),1858.5134,0.746173149,
1169000,42.63842,-72.72509,POINT (-72.72509 42.63842),1909.0247,0.251802768,
1170100,42.70342,-72.67065,POINT (-72.67065 42.70342),1979.7216,0.251802768,
1181000,42.23731,-72.89565,POINT (-72.89565 42.23731),1940.0155,0.373566013,
1187300,42.03732,-72.93899,POINT (-72.93899 42.03732),1945.3593,0.373566013,
1195100,41.30593,-72.5312,POINT (-72.5312 41.30593),2059.889,0.94328107,
1333000,42.70897,-73.19677,POINT (-73.19677 42.70897),1918.8207,7.515420294,
1350000,42.31953,-74.43654,POINT (-74.43654 42.31953),1796.5835,1.18779718,
1350080,42.37703,-74.41292,POINT (-74.41292 42.37703),1574.1766,1.18779718,
1350140,42.42897,-74.47293,POINT (-74.47293 42.42897),1809.5485,1.18779718,
1365000,41.86648,-74.4871,POINT (-74.4871 41.86648),1963.645,0.273974835,
1411300,39.30694,-74.82056,POINT (-74.82056 39.30694),1870.5265,0.880746362,
1413500,42.14481,-74.65349,POINT (-74.65349 42.14481),1838.9329,2.832147469,
1414500,42.1062,-74.73043,POINT (-74.73043 42.1062),1751.7451,2.832147469,
1415000,42.12009,-74.81849,POINT (-74.81849 42.12009),1909.7612,2.832147469,
1423000,42.1662,-75.13989,POINT (-75.13989 42.1662),1881.6251,4.787465381,
1434025,41.99537,-74.50099,POINT (-74.50099 41.99537),1867.0459,0.562448596,
1435000,41.89009,-74.58988,POINT (-74.58988 41.89009),1894.6781,0.562448596,
1439500,41.08815,-75.03767,POINT (-75.03767 41.08815),1736.0977,0.29963077,
1440000,41.10667,-74.95222,POINT (-74.95222 41.10667),1783.4348,0.020423225,
1440400,41.08481,-75.21462,POINT (-75.21462 41.08481),1764.5519,0.29963077,
1451800,40.66176,-75.62685,POINT (-75.62685 40.66176),1694.7391,9.41858121,1.156519146
1466500,39.885,-74.50528,POINT (-74.50528 39.885),1551.7712,2.693504801,
1484100,38.90578,-75.51275,POINT (-75.51275 38.90578),1751.5231,22.0310629,1.523833861
1485500,38.22892,-75.47144,POINT (-75.47144 38.22892),1886.121,13.24522131,
1486000,38.21389,-75.67139,POINT (-75.67139 38.21389),1959.8267,18.21221213,2.298739121
1487000,38.72833,-75.56186,POINT (-75.56186 38.72833),1665.9657,22.0310629,1.523833861
1491000,38.99719,-75.78581,POINT (-75.78581 38.99719),1752.4668,22.0310629,1.523833861
1510000,42.54118,-75.89964,POINT (-75.89964 42.54118),1785.4067,17.7806124,2.118441197
1516500,41.79091,-77.01469,POINT (-77.01469 41.79091),1750.8484,2.700991056,
1518862,41.92313,-77.53193,POINT (-77.53193 41.92313),1854.7554,1.972058484,
1532000,41.70702,-76.48467,POINT (-76.48467 41.70702),1782.0942,14.01319679,2.431316167
1539000,41.07814,-76.43106,POINT (-76.43106 41.07814),1721.9309,0.447051377,
1542810,41.57895,-78.29251,POINT (-78.29251 41.57895),1946.2045,0.850339562,
1543000,41.4134,-78.19695,POINT (-78.19695 41.4134),1938.6348,0.163933872,
1543500,41.31728,-78.10306,POINT (-78.10306 41.31728),1852.7722,0.163933872,
1544500,41.4759,-77.82582,POINT (-77.82582 41.4759),1903.777,0.216501847,
1545600,41.38951,-77.69082,POINT (-77.69082 41.38951),1922.8774,0.216501847,
1547700,41.05951,-77.60583,POINT (-77.60583 41.05951),1781.7766,0.216501847,
1548500,41.52174,-77.44748,POINT (-77.44748 41.52174),1841.9154,2.700991056,
1549500,41.47368,-77.23081,POINT (-77.23081 41.47368),1954.139,0.440096181,
1550000,41.41841,-77.03275,POINT (-77.03275 41.41841),1967.835,0.440096181,
1552000,41.32508,-76.91246,POINT (-76.91246 41.32508),1833.0951,3.416712386,
1552500,41.35702,-76.53467,POINT (-76.53467 41.35702),2019.273,3.416712386,
1557500,40.68367,-78.23362,POINT (-78.23362 40.68367),1681.8584,2.903550706,
1567500,40.37092,-77.40221,POINT (-77.40221 40.37092),1820.0023,12.04968316,0.889150568
1568000,40.32342,-77.16887,POINT (-77.16887 40.32342),1766.1097,12.04968316,0.889150568
1580000,39.62997,-76.40331,POINT (-76.40331 39.62997),2025.1838,17.24417884,
1583500,39.51078,-76.6765,POINT (-76.6765 39.51078),1941.9131,27.73167305,2.492961351
1586610,39.45189,-76.95531,POINT (-76.95531 39.45189),1960.0853,21.89051385,2.665388637
1591400,39.25597,-77.05106,POINT (-77.05106 39.25597),1996.005,26.70891153,3.12203529
1594950,39.27669,-79.39031,POINT (-79.39031 39.27669),1856.4067,3.977554997,
1596500,39.57006,-79.10194,POINT (-79.10194 39.57006),1882.7698,1.873732593,
1605500,38.63567,-79.33782,POINT (-79.33782 38.63567),1855.8633,0.357590096,
1606500,38.99122,-79.17587,POINT (-79.17587 38.99122),1806.6847,0.357590096,
1613050,39.89842,-78.13223,POINT (-78.13223 39.89842),1687.9651,5.344172842,
1620500,38.33763,-79.24004,POINT (-79.24004 38.33763),1957.4657,0.355708898,
1632000,38.63706,-78.8528,POINT (-78.8528 38.63706),1993.2169,1.025545646,
1632900,38.69345,-78.64279,POINT (-78.64279 38.69345),1948.527,1.025545646,
1634500,39.08122,-78.32945,POINT (-78.32945 39.08122),1838.0426,12.11297185,2.165084494
1638480,39.25455,-77.57638,POINT (-77.57638 39.25455),1874.1353,28.02691445,2.868516975
1639500,39.61236,-77.23744,POINT (-77.23744 39.61236),1743.9866,11.4053232,0.855342014
1644000,39.01955,-77.57749,POINT (-77.57749 39.01955),1781.8898,28.02691445,2.868516975
1658500,38.58734,-77.4286,POINT (-77.4286 38.58734),1942.341,10.6590393,1.828128172
1664000,38.53068,-77.8136,POINT (-77.8136 38.53068),1745.8456,25.76739687,3.488395948
1666500,38.32513,-78.09556,POINT (-78.09556 38.32513),1822.3717,18.14101647,3.059892645
1667500,38.35041,-77.975,POINT (-77.975 38.35041),1827.8544,20.43861089,3.164052034
1669000,37.87708,-76.90052,POINT (-76.90052 37.87708),2044.0448,5.424641171,
1669520,37.63375,-76.69635,POINT (-76.69635 37.63375),2027.0122,5.424641171,
2011400,38.04235,-79.88144,POINT (-79.88144 38.04235),1900.3822,0.153529521,
2011460,38.2454,-79.76866,POINT (-79.76866 38.2454),1858.5532,0.153529521,
2013000,37.8029,-80.047,POINT (-80.047 37.8029),1937.3131,1.238502547,
2014000,37.72901,-80.04228,POINT (-80.04228 37.72901),1911.9388,1.238502547,
2015700,38.1954,-79.57032,POINT (-79.57032 38.1954),1884.9542,0.153529521,
2016000,37.7918,-79.75949,POINT (-79.75949 37.7918),1836.5907,0.167569818,
2017500,37.50624,-80.10671,POINT (-80.10671 37.50624),1987.2651,1.238502547,
2018000,37.66596,-79.91144,POINT (-79.91144 37.66596),2094.129,0.167569818,
2027000,37.71542,-78.98169,POINT (-78.98169 37.71542),1919.1292,0.109430238,
2027500,37.70236,-79.02752,POINT (-79.02752 37.70236),1925.6422,2.999684852,
2028500,37.86959,-78.82335,POINT (-78.82335 37.86959),2012.3462,0.109430238,
2038850,37.41542,-78.63584,POINT (-78.63584 37.41542),2047.2065,21.8085199,3.5619648
2046000,37.06709,-77.60249,POINT (-77.60249 37.06709),2034.1545,2.873591157,
2051000,36.99737,-78.34972,POINT (-78.34972 36.99737),1977.9008,0.722557907,
2051500,36.71681,-77.83166,POINT (-77.83166 36.71681),2019.3884,0.901473627,
2053200,36.37083,-77.02556,POINT (-77.02556 36.37083),1931.3802,22.32909139,3.553426162
2053800,37.14013,-80.26643,POINT (-80.26643 37.14013),1974.9309,0.511690183,
2055100,37.41763,-79.93532,POINT (-79.93532 37.41763),1879.3564,17.1779509,3.124608094
2056900,37.04514,-79.8442,POINT (-79.8442 37.04514),1980.5831,17.1779509,3.124608094
2059500,37.1732,-79.52031,POINT (-79.52031 37.1732),1895.5974,17.1779509,3.124608094
2064000,37.12681,-78.95974,POINT (-78.95974 37.12681),1937.9447,21.8085199,3.5619648
2065500,37.07931,-78.76362,POINT (-78.76362 37.07931),2012.2584,21.8085199,3.5619648
2069700,36.57097,-80.12949,POINT (-80.12949 36.57097),2004.606,0.925160047,
2070000,36.56819,-79.98726,POINT (-79.98726 36.56819),1947.4696,20.71014482,3.421631018
2074500,36.61958,-79.50419,POINT (-79.50419 36.61958),1843.171,20.71014482,3.421631018
2077200,36.39778,-79.19667,POINT (-79.19667 36.39778),1934.9397,23.71207003,3.730734262
2081500,36.19417,-78.58306,POINT (-78.58306 36.19417),1987.463,23.6840768,3.677259795
2082950,36.18333,-77.87611,POINT (-77.87611 36.18333),2052.1184,15.1874561,3.044821617
2092500,35.06417,-77.46139,POINT (-77.46139 35.06417),1950.3818,7.526658319,
2096846,35.98722,-79.20611,POINT (-79.20611 35.98722),1948.6877,4.637505369,
2102908,35.18278,-79.1775,POINT (-79.1775 35.18278),1524.9136,29.51224502,3.85902711
2108000,34.82889,-77.83222,POINT (-77.83222 34.82889),2077.4314,8.540005472,
2111180,36.07139,-81.40306,POINT (-81.40306 36.07139),2172.6997,0.876395645,
2111500,36.175,-81.16889,POINT (-81.16889 36.175),1945.5355,0.876395645,
2112120,36.25028,-81.04444,POINT (-81.04444 36.25028),2135.2595,0.876395645,
2112360,36.31139,-80.80722,POINT (-80.80722 36.31139),2010.7849,27.40829967,3.634048442
2118500,36.00056,-80.74556,POINT (-80.74556 36.00056),1993.9137,27.40829967,3.634048442
2125000,35.33472,-80.33556,POINT (-80.33556 35.33472),2096.3586,35.3665173,3.873230483
2128000,35.38722,-79.83139,POINT (-79.83139 35.38722),1966.2101,1.230120389,
2137727,35.68583,-82.06028,POINT (-82.06028 35.68583),1954.8618,0.149685015,
2140991,35.83361,-81.71194,POINT (-81.71194 35.83361),2030.6437,0.422092419,
2143000,35.68444,-81.40333,POINT (-81.40333 35.68444),2033.857,29.51101333,3.788098794
2143040,35.59069,-81.56704,POINT (-81.56704 35.59069),2117.5698,0.422092419,
2149000,35.42345,-82.1115,POINT (-82.1115 35.42345),1967.0883,3.96672601,
2152100,35.49306,-81.68222,POINT (-81.68222 35.49306),1949.4207,30.40321789,3.836297479
2177000,34.81398,-83.30599,POINT (-83.30599 34.81398),2074.6455,0.216819638,
2178400,34.89037,-83.53044,POINT (-83.53044 34.89037),1961.1747,0.496598186,
2193340,33.68263,-82.85792,POINT (-82.85792 33.68263),1880.4156,0.060146236,
2196000,33.7293,-82.18179,POINT (-82.18179 33.7293),1826.3529,0.014197276,
2198100,32.93766,-81.81539,POINT (-81.81539 32.93766),1806.5714,10.38433821,2.391125953
2202600,32.16798,-81.48817,POINT (-81.48817 32.16798),1853.2627,1.785408931,
2212600,33.09985,-83.72351,POINT (-83.72351 33.09985),1750.6013,0.13428055,
2215100,32.23944,-83.50167,POINT (-83.50167 32.23944),1707.7631,32.51252025,3.669598742
2216180,31.99139,-82.92194,POINT (-82.92194 31.99139),1770.8599,32.80209177,3.83350894
2221525,33.25236,-83.48128,POINT (-83.48128 33.25236),1965.5852,0.140451735,
2231000,30.35885,-82.0815,POINT (-82.0815 30.35885),1853.8599,30.55287052,3.786480419
2231342,27.56865,-80.79617,POINT (-80.79617 27.56865),1903.4324,56.31191187,3.861106245
2235200,28.87453,-81.48938,POINT (-81.48938 28.87453),2092.164,32.98877984,3.501403213
2245500,29.97941,-81.85204,POINT (-81.85204 29.97941),1849.9069,36.9483184,3.902763739
2246000,30.1133,-81.90649,POINT (-81.90649 30.1133),1939.7625,7.752410987,1.895075109
2296500,27.37504,-81.79647,POINT (-81.79647 27.37504),1985.4543,56.3730268,3.906864865
2297155,27.48726,-82.02342,POINT (-82.02342 27.48726),1902.1056,46.106268,3.788603455
2297310,27.19949,-81.98842,POINT (-81.98842 27.19949),2013.2131,56.3730268,3.906864865
2298123,27.052,-81.78453,POINT (-81.78453 27.052),1940.3652,56.3730268,3.906864865
2298608,27.34366,-82.15676,POINT (-82.15676 27.34366),1944.2283,46.106268,3.788603455
2299950,27.47365,-82.2112,POINT (-82.2112 27.47365),1704.8403,46.106268,3.788603455
2300700,27.79197,-82.35204,POINT (-82.35204 27.79197),1537.7546,45.19686236,3.818772977
2310947,28.31195,-82.05591,POINT (-82.05591 28.31195),1820.9177,46.65140595,3.917331984
2312200,28.57277,-82.15536,POINT (-82.15536 28.57277),2039.1294,47.00071957,3.941327768
2314500,30.68056,-82.56056,POINT (-82.56056 30.68056),1967.8191,0.038091603,
2315500,30.32578,-82.73818,POINT (-82.73818 30.32578),2000.7512,13.7132897,2.70815664
2324400,30.09827,-83.47181,POINT (-83.47181 30.09827),1959.5009,39.55323688,3.902901606
2327100,30.12937,-84.49435,POINT (-84.49435 30.12937),2113.4495,23.89499439,3.42462243
2342933,32.01766,-85.29577,POINT (-85.29577 32.01766),1970.56,8.591764685,2.540740067
2349900,32.19556,-83.90222,POINT (-83.90222 32.19556),1505.0222,32.51252025,3.669598742
2350900,31.76444,-84.25333,POINT (-84.25333 31.76444),1876.5372,39.2763327,3.952748791
2361000,31.34295,-85.61049,POINT (-85.61049 31.34295),1897.8655,11.88725994,2.592698879
2363000,31.59489,-85.783,POINT (-85.783 31.59489),2038.6099,9.628087195,2.600591364
2369800,31.02768,-86.70996,POINT (-86.70996 31.02768),1908.5603,26.87728944,3.80811302
2371500,31.5735,-86.25162,POINT (-86.25162 31.5735),2089.4797,9.143151171,2.417058749
2372250,31.59627,-86.40552,POINT (-86.40552 31.59627),2050.0679,9.143151171,2.417058749
2374500,31.4185,-86.98664,POINT (-86.98664 31.4185),1986.0446,26.87728944,3.80811302
2381600,34.57037,-84.46882,POINT (-84.46882 34.57037),2085.5747,0.198646139,
2384540,34.87202,-84.72133,POINT (-84.72133 34.87202),2068.1858,3.329923239,
2395120,34.24278,-84.88972,POINT (-84.88972 34.24278),1900.4313,2.760076542,
2408540,32.91679,-86.27025,POINT (-86.27025 32.91679),1859.2173,21.29245982,3.652052021
2415000,33.06679,-85.87913,POINT (-85.87913 33.06679),1818.8708,0.355238879,
2422500,32.58291,-86.9036,POINT (-86.9036 32.58291),2110.5518,7.959507262,2.396565568
2427250,31.99626,-87.06832,POINT (-87.06832 31.99626),2013.0012,0.382122858,
2430085,34.46667,-88.28361,POINT (-88.28361 34.46667),1900.9917,2.334278077,
2430615,34.3925,-88.355,POINT (-88.355 34.3925),1839.1073,2.334278077,
2450250,34.28538,-87.39891,POINT (-87.39891 34.28538),2018.1893,21.52716082,3.402880026
2464000,33.47928,-87.59723,POINT (-87.59723 33.47928),2063.8684,1.449960201,
2464146,33.41345,-87.51056,POINT (-87.51056 33.41345),1894.0995,1.449960201,
2464360,33.42484,-87.64251,POINT (-87.64251 33.42484),1988.2784,1.449960201,
2465493,32.99735,-87.62223,POINT (-87.62223 32.99735),1997.841,7.721017493,2.136041944
2469800,31.74432,-88.02251,POINT (-88.02251 31.74432),2050.3066,0.067899709,
2472000,31.70694,-89.40694,POINT (-89.40694 31.70694),2027.7499,8.566013828,2.608646314
2472500,31.42583,-89.41472,POINT (-89.41472 31.42583),1923.6984,33.19846434,3.963503463
2479155,31.02528,-89.01667,POINT (-89.01667 31.02528),2000.7334,33.19846434,3.963503463
2479300,30.73611,-88.78111,POINT (-88.78111 30.73611),1992.2555,7.911882023,2.175313213
2479560,30.80908,-88.45863,POINT (-88.45863 30.80908),2032.0785,37.50271178,3.945477321
2481000,30.55861,-89.12194,POINT (-89.12194 30.55861),1981.2926,9.328801123,2.586064089
2481510,30.48361,-89.27444,POINT (-89.27444 30.48361),2100.6091,,
3010655,41.96173,-78.19807,POINT (-78.19807 41.96173),1902.669,0.850339562,
3011800,41.76645,-78.71864,POINT (-78.71864 41.76645),1862.0936,,
3015500,41.85256,-79.31727,POINT (-79.31727 41.85256),1910.0864,1.98235152,
3021350,42.01533,-79.78255,POINT (-79.78255 42.01533),2012.3228,,
3026500,41.63117,-78.57669,POINT (-78.57669 41.63117),1745.3884,,
3028000,41.57534,-78.69225,POINT (-78.69225 41.57534),1797.0604,,
3049000,40.7159,-79.69949,POINT (-79.69949 40.7159),1855.1073,18.27965848,2.877082897
3049800,40.52035,-79.93811,POINT (-79.93811 40.52035),1761.308,18.27965848,2.877082897
3050000,38.80927,-79.88173,POINT (-79.88173 38.80927),1978.5682,0.449212391,
3066000,39.12705,-79.46838,POINT (-79.46838 39.12705),1666.9154,3.977554997,
3069500,39.12288,-79.68117,POINT (-79.68117 39.12288),1938.4504,0.366296603,
3070500,39.61564,-79.70477,POINT (-79.70477 39.61564),1969.422,5.331767566,
3076600,39.65614,-79.39411,POINT (-79.39411 39.65614),1913.7931,1.873732593,
3078000,39.70219,-79.13639,POINT (-79.13639 39.70219),1956.3876,1.873732593,
3140000,40.36285,-81.86236,POINT (-81.86236 40.36285),2031.604,18.61716731,2.423036071
3144000,40.13257,-82.14792,POINT (-82.14792 40.13257),1787.0671,26.26801208,2.740618572
3159540,39.06369,-81.8818,POINT (-81.8818 39.06369),2001.2657,0.993167707,
3161000,36.39333,-81.40694,POINT (-81.40694 36.39333),2026.2256,0.876395645,
3164000,36.64735,-80.97897,POINT (-80.97897 36.64735),2057.3674,14.29097746,2.604319302
3165000,36.64596,-80.91924,POINT (-80.91924 36.64596),2059.877,14.29097746,2.604319302
3170000,37.03763,-80.55672,POINT (-80.55672 37.03763),1980.0035,0.673696342,
3173000,37.26818,-80.70951,POINT (-80.70951 37.26818),2033.1301,0.673696342,
